unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1.59956E+12,9/8/2020 11:00,BTC/USDT,10049.38,10080,9933,9987.07,17935.668,179309533.6,66939
1.59956E+12,9/8/2020 10:00,BTC/USDT,10017.64,10078,9976.11,10049.33,21569.925,216400670.5,80999
1.59956E+12,9/8/2020 9:00,BTC/USDT,10180.14,10207.99,10012.8,10018.33,16983.045,171806275.2,63795
1.59955E+12,9/8/2020 8:00,BTC/USDT,10270.81,10343.4,10160.11,10180.3,14469.582,148002069.3,60735
1.59955E+12,9/8/2020 7:00,BTC/USDT,10310.22,10316.41,10243.32,10269.9,5404.715,55557392.27,29229
1.59954E+12,9/8/2020 6:00,BTC/USDT,10234.59,10319,10230,10310.22,5895.845,60579384.28,25362
1.59954E+12,9/8/2020 5:00,BTC/USDT,10273.72,10288.8,10227.15,10234.59,5556.336,57012705.05,27254
1.59954E+12,9/8/2020 4:00,BTC/USDT,10306.49,10324.25,10240.26,10273.71,6725.496,69137311.18,30314
1.59953E+12,9/8/2020 3:00,BTC/USDT,10339.49,10350,10300,10306.5,3838.719,39609128.25,23346
1.59953E+12,9/8/2020 2:00,BTC/USDT,10313.43,10355.55,10310.08,10339.49,3286.148,33965161.02,23236
1.59953E+12,9/8/2020 1:00,BTC/USDT,10323.89,10372,10310,10313.43,4163.047,43045641.34,23050
1.59952E+12,9/8/2020 0:00,BTC/USDT,10379.3,10443.79,10311.18,10323.9,14043.621,145619611.1,46177
1.59952E+12,9/7/2020 23:00,BTC/USDT,10389.03,10420.55,10345.84,10378.76,9065.864,94077864.58,35774
1.59952E+12,9/7/2020 22:00,BTC/USDT,10159.91,10405,10159.8,10388.51,20951.493,216185144.5,72775
1.59951E+12,9/7/2020 21:00,BTC/USDT,10154.11,10188.34,10135,10159.83,3685.158,37463907.78,23785
1.59951E+12,9/7/2020 20:00,BTC/USDT,10150.63,10157.12,10089.15,10154.11,7034.596,71235707.98,30644
1.59951E+12,9/7/2020 19:00,BTC/USDT,10175.21,10227.62,10134.92,10150.63,6973.471,70974390.27,29527
1.5995E+12,9/7/2020 18:00,BTC/USDT,10166.91,10206.86,10160,10175.2,4094.134,41688348.07,22996
1.5995E+12,9/7/2020 17:00,BTC/USDT,10201.05,10212.15,10156.38,10166.9,5273.894,53672761.1,22318
1.59949E+12,9/7/2020 16:00,BTC/USDT,10147.25,10241.9,10127.23,10201.14,14030.6,142996976.3,46359
1.59949E+12,9/7/2020 15:00,BTC/USDT,10016.36,10169.67,9982.82,10147.19,15881.11,160459539.6,52249
1.59949E+12,9/7/2020 14:00,BTC/USDT,10078.75,10090,9990,10016.36,10175.214,102192529.4,41008
1.59948E+12,9/7/2020 13:00,BTC/USDT,9950.4,10129.52,9880.08,10078.76,26839.136,268773706.2,86500
1.59948E+12,9/7/2020 12:00,BTC/USDT,10031.6,10070,9879.68,9950.84,35136.173,350170091.1,111464
1.59948E+12,9/7/2020 11:00,BTC/USDT,10073.26,10143,10000,10031.6,25282.602,254158304.2,81698
1.59947E+12,9/7/2020 10:00,BTC/USDT,10120,10161.9,10060.94,10073.27,10846.42,109577893.9,39293
1.59947E+12,9/7/2020 9:00,BTC/USDT,10143.81,10180,10101.5,10120,7043.847,71425153.09,28713
1.59947E+12,9/7/2020 8:00,BTC/USDT,10116.2,10188.54,10106.66,10143.82,6580.269,66828762.96,28454
1.59946E+12,9/7/2020 7:00,BTC/USDT,10083.18,10164,10050.01,10116.19,9219.663,93315298.23,32197
1.59946E+12,9/7/2020 6:00,BTC/USDT,10109.13,10135,10064.47,10083.18,9332.313,94289205.5,36454
1.59945E+12,9/7/2020 5:00,BTC/USDT,10173.24,10184.9,10082.11,10109.13,9822.245,99585542.2,36813
1.59945E+12,9/7/2020 4:00,BTC/USDT,10203.82,10241,10167.46,10173.24,4064.996,41471377.41,22562
1.59945E+12,9/7/2020 3:00,BTC/USDT,10211.7,10226.25,10181.01,10203.56,4168.372,42525879.21,21331
1.59944E+12,9/7/2020 2:00,BTC/USDT,10286.05,10286.06,10196,10211.7,4600.567,47072901.99,21974
1.59944E+12,9/7/2020 1:00,BTC/USDT,10282.81,10290,10233.52,10286.06,3679.699,37764674.12,20099
1.59944E+12,9/7/2020 0:00,BTC/USDT,10258.13,10315.13,10243,10282.8,4695.113,48281421.94,24146
1.59943E+12,9/6/2020 23:00,BTC/USDT,10212.2,10312,10191.78,10258.13,7685.045,78780647.06,32410
1.59943E+12,9/6/2020 22:00,BTC/USDT,10322.41,10348.97,10186,10212.73,13482.376,138108027.5,52203
1.59943E+12,9/6/2020 21:00,BTC/USDT,10230.09,10348.78,10230.09,10321.85,8948.141,92224850,35288
1.59942E+12,9/6/2020 20:00,BTC/USDT,10257.53,10266.99,10218.58,10230.08,3878.733,39709943.46,21161
1.59942E+12,9/6/2020 19:00,BTC/USDT,10239.14,10280,10220.17,10257.52,4893.025,50165595.37,24195
1.59942E+12,9/6/2020 18:00,BTC/USDT,10208.3,10246.89,10181.73,10238.72,3955.095,40419040.04,20199
1.59941E+12,9/6/2020 17:00,BTC/USDT,10244.21,10247.73,10196.9,10208.3,3884.031,39679949.16,21558
1.59941E+12,9/6/2020 16:00,BTC/USDT,10176.25,10256.99,10145.34,10244.2,7322.834,74758855.1,32137
1.5994E+12,9/6/2020 15:00,BTC/USDT,10233.9,10250,10125.56,10176.25,8158.841,83004965.73,35525
1.5994E+12,9/6/2020 14:00,BTC/USDT,10225.82,10266,10178.07,10233.74,5944.497,60719347.9,30070
1.5994E+12,9/6/2020 13:00,BTC/USDT,10248.42,10248.42,10194.03,10225.81,6055.633,61892175.57,28867
1.59939E+12,9/6/2020 12:00,BTC/USDT,10266.45,10303,10231.41,10248.41,8923.641,91661021.94,37523
1.59939E+12,9/6/2020 11:00,BTC/USDT,10232.63,10275.26,10191.55,10266.67,7180.116,73517452.88,27311
1.59939E+12,9/6/2020 10:00,BTC/USDT,10219.98,10243.39,10172,10232.62,5295.53,54059024.61,22786
1.59938E+12,9/6/2020 9:00,BTC/USDT,10240.66,10286,10169,10219.98,9396.171,96121216.45,33516
1.59938E+12,9/6/2020 8:00,BTC/USDT,10232.42,10269.88,10176.62,10240.94,11039.611,112880735.8,37221
